Time,X(mG),Y(mG),Z(mG),Classification
,904,-112,0,Pushups
,872,40,-192,Pushups
,904,-104,-72,Pushups
,936,56,-376,Pushups
,992,72,-64,Pushups
,976,72,-240,Pushups
,1000,160,-400,Pushups
,888,152,-280,Pushups
,896,240,-232,Pushups
,880,248,-336,Pushups
,872,312,-144,Pushups
,880,288,-224,Pushups
,880,328,-232,Pushups
,864,360,-112,Pushups
,856,384,-272,Pushups
,872,328,-264,Pushups
,872,368,-224,Pushups
,880,320,-144,Pushups
,848,400,-296,Pushups
,840,328,-328,Pushups
,872,320,-192,Pushups
,848,336,-256,Pushups
,856,384,-168,Pushups
,880,352,-240,Pushups
,880,376,-224,Pushups
,880,336,-232,Pushups
,872,368,-248,Pushups
,864,320,-352,Pushups
,856,320,-272,Pushups
,848,336,-336,Pushups
,872,272,-320,Pushups
,872,272,-344,Pushups
,904,208,-264,Pushups
,904,176,-384,Pushups
,928,-8,-168,Pushups
,968,56,-440,Pushups
,992,-120,-216,Pushups
,920,-288,-120,Pushups
,856,-80,-280,Pushups
,928,-224,-232,Pushups
,880,-184,-184,Pushups
,896,-32,-384,Pushups
,920,-192,-432,Pushups
,896,-72,72,Pushups
,960,184,-528,Pushups
,816,160,-248,Pushups
,848,208,-424,Pushups
,880,208,-424,Pushups
,864,280,-256,Pushups
,840,344,-184,Pushups
,896,248,-112,Pushups
,856,376,-320,Pushups
,872,376,-160,Pushups
,840,416,-248,Pushups
,832,416,-168,Pushups
,848,360,-232,Pushups
,824,448,-280,Pushups
,840,392,-128,Pushups
,848,424,-152,Pushups
,848,408,-208,Pushups
,856,400,-176,Pushups
,856,408,-216,Pushups
,856,416,-256,Pushups
,856,392,-248,Pushups
,864,424,-112,Pushups
,848,416,-368,Pushups
,872,392,-168,Pushups
,840,376,-320,Pushups
,848,416,-320,Pushups
,848,384,-384,Pushups
,856,328,-328,Pushups
,864,288,-296,Pushups
,856,288,-320,Pushups
,912,184,-256,Pushups
,888,192,-336,Pushups
,944,40,-280,Pushups
,952,-8,-200,Pushups
,912,-120,-352,Pushups
,888,-80,-352,Pushups
,952,-72,-336,Pushups
,880,-48,-296,Pushups
,880,288,-304,Pushups
,936,64,-416,Pushups
,928,256,-264,Pushups
,920,200,-592,Pushups
,824,272,-264,Pushups
,832,328,-304,Pushups
,888,304,-344,Pushups
,864,384,-296,Pushups
,880,328,-224,Pushups
,824,352,-112,Pushups
,864,336,-312,Pushups
,856,296,-232,Pushups
,840,344,-232,Pushups
,848,392,-216,Pushups
,840,424,-192,Pushups
,840,392,-208,Pushups
,848,400,-240,Pushups
,848,400,-280,Pushups
,848,432,-168,Pushups
,856,440,-120,Pushups
,832,424,-224,Pushups
,848,456,-112,Pushups
,856,440,-216,Pushups
,856,408,-256,Pushups
,864,376,-264,Pushups
,872,376,-200,Pushups
,872,376,-288,Pushups
,872,336,-280,Pushups
,864,352,-336,Pushups
,880,312,-248,Pushups
,864,288,-408,Pushups
,904,232,-184,Pushups
,888,216,-456,Pushups
,936,120,-104,Pushups
,936,104,-368,Pushups
,968,-16,-264,Pushups
,992,-24,-496,Pushups
,976,-144,-208,Pushups
,944,-80,-328,Pushups
,944,-144,-264,Pushups
,928,-48,-288,Pushups
,944,-8,-392,Pushups
,888,0,-248,Pushups
,952,24,-256,Pushups
,920,24,-40,Pushups
,944,104,-336,Pushups
,896,80,-376,Pushups
,888,280,-328,Pushups
,912,304,-120,Pushups
,888,360,-416,Pushups
,896,296,-216,Pushups
,864,384,-280,Pushups
,888,344,-216,Pushups
,864,384,-224,Pushups
,880,400,-192,Pushups
,896,368,-200,Pushups
,880,400,-104,Pushups
,856,416,-80,Pushups
,856,408,-152,Pushups
,840,376,-184,Pushups
,856,416,-96,Pushups
,856,400,-200,Pushups
,872,432,-112,Pushups
,848,424,-248,Pushups
,848,464,-96,Pushups
,848,464,-192,Pushups
,848,456,-272,Pushups
,856,400,-232,Pushups
,856,384,-256,Pushups
,864,368,-248,Pushups
,864,368,-272,Pushups
,872,320,-248,Pushups
,872,336,-272,Pushups
,880,288,-384,Pushups
,880,256,-184,Pushups
,888,200,-376,Pushups
,912,112,-312,Pushups
,904,80,-248,Pushups
,912,-24,-352,Pushups
,904,24,-344,Pushups
,920,-176,-200,Pushups
,896,-64,-400,Pushups
,928,-112,-264,Pushups
,888,8,-328,Pushups
,936,56,-296,Pushups
,848,72,-384,Pushups
,920,56,-344,Pushups
,896,24,-216,Pushups
,920,96,168,Pushups
,832,248,-456,Pushups
,808,320,-320,Pushups
,784,400,-392,Pushups
,816,400,-160,Pushups
,816,424,-304,Pushups
,832,392,-264,Pushups
,832,376,-304,Pushups
,824,440,-224,Pushups
,872,416,-264,Pushups
,856,456,-168,Pushups
,856,440,-248,Pushups
,856,400,-184,Pushups
,856,448,-184,Pushups
,848,400,-216,Pushups
,848,432,-176,Pushups
,864,408,-96,Pushups
,872,400,-200,Pushups
,856,408,-184,Pushups
,840,408,-312,Pushups
,864,400,-192,Pushups
,856,376,-328,Pushups
,880,336,-184,Pushups
,864,312,-376,Pushups
,880,336,-240,Pushups
,888,304,-288,Pushups
,912,264,-224,Pushups
,896,232,-376,Pushups
,896,176,-296,Pushups
,912,136,-352,Pushups
,920,56,-240,Pushups
,912,-32,-368,Pushups
,912,-80,-232,Pushups
,904,-88,-336,Pushups
,944,-152,-272,Pushups
,880,56,-464,Pushups
,896,-32,-272,Pushups
,856,120,-376,Pushups
,896,128,-352,Pushups
,864,64,-8,Pushups
,864,312,-360,Pushups
,856,160,-80,Pushups
,856,304,-376,Pushups
,864,296,-112,Pushups
,864,344,-336,Pushups
,864,328,-280,Pushups
,864,432,-272,Pushups
,848,408,-96,Pushups
,840,480,-248,Pushups
,840,448,-280,Pushups
,816,440,-176,Pushups
,840,448,-168,Pushups
,840,432,-232,Pushups
,856,424,-176,Pushups
,840,456,-184,Pushups
,840,416,-296,Pushups
,848,440,-184,Pushups
,808,456,-280,Pushups
,808,472,-160,Pushups
,800,464,-280,Pushups
,824,480,-216,Pushups
,824,456,-264,Pushups
,848,432,-160,Pushups
,840,384,-336,Pushups
,856,392,-232,Pushups
,864,360,-288,Pushups
,864,312,-264,Pushups
,888,280,-304,Pushups
,888,232,-256,Pushups
,904,192,-264,Pushups
,920,128,-344,Pushups
,920,80,-312,Pushups
,928,16,-328,Pushups
,896,-200,-400,Pushups
,920,-104,-280,Pushups
,944,-88,-264,Pushups
,896,40,-488,Pushups
,952,88,-240,Pushups
,880,104,-336,Pushups
,872,320,-344,Pushups
,896,248,-264,Pushups
,856,320,-320,Pushups
,856,232,104,Pushups
,920,224,-240,Pushups
,888,208,-16,Pushups
,944,224,-16,Pushups
,896,320,-96,Pushups
,896,384,-144,Pushups
,856,344,-144,Pushups
,856,376,-200,Pushups
,856,400,-160,Pushups
,872,440,-88,Pushups
,880,440,-144,Pushups
,888,432,-56,Pushups
,888,416,-136,Pushups
,880,424,-120,Pushups
,872,408,-160,Pushups
,856,416,-224,Pushups
,848,424,-144,Pushups
,848,448,-312,Pushups
,832,416,-248,Pushups
,840,416,-296,Pushups
,832,384,-256,Pushups
,864,368,-280,Pushups
,856,352,-360,Pushups
,880,328,-288,Pushups
,832,272,-440,Pushups
,872,240,-320,Pushups
,872,240,-344,Pushups
,888,224,-320,Pushups
,880,176,-344,Pushups
,920,64,-296,Pushups
,928,80,-376,Pushups
,928,-80,-304,Pushups
,888,-64,-392,Pushups
,920,-80,-280,Pushups
,920,-8,-272,Pushups
,904,80,-392,Pushups
,840,80,-392,Pushups
,904,104,-320,Pushups
,872,8,-72,Pushups
,880,192,-256,Pushups
,904,112,-80,Pushups
,880,256,-320,Pushups
,872,296,-192,Pushups
,856,368,-168,Pushups
,856,368,-208,Pushups
,864,384,-176,Pushups
,848,440,-288,Pushups
,872,416,-240,Pushups
,848,416,-152,Pushups
,856,384,-200,Pushups
,840,424,-160,Pushups
,840,440,-176,Pushups
,872,416,-128,Pushups
,856,416,-184,Pushups
,864,424,-96,Pushups
,880,400,-136,Pushups
,864,440,-128,Pushups
,864,416,-80,Pushups
,856,448,-160,Pushups
,848,424,-176,Pushups
,848,408,-240,Pushups
,864,400,-200,Pushups
,856,376,-240,Pushups
,872,352,-168,Pushups
,840,304,-328,Pushups
,856,328,-288,Pushups
,840,344,-368,Pushups
,872,288,-232,Pushups
,848,304,-336,Pushups
,864,288,-320,Pushups
,896,184,-384,Pushups
,896,152,-312,Pushups
,912,176,-328,Pushups
,912,-32,-344,Pushups
,912,8,-272,Pushups
,912,-40,-384,Pushups
,928,56,-320,Pushups
,872,80,-464,Pushups
,920,32,-136,Pushups
,896,136,-440,Pushups
,896,136,-168,Pushups
,904,240,-264,Pushups
,880,320,-208,Pushups
,928,304,-120,Pushups
,864,360,-328,Pushups
,872,344,-248,Pushups
,840,368,-296,Pushups
,848,432,-160,Pushups
,832,368,-296,Pushups
,840,424,-184,Pushups
,840,384,-296,Pushups
,824,432,-224,Pushups
,832,408,-224,Pushups
,848,432,-128,Pushups
,840,424,-128,Pushups
,840,424,-216,Pushups
,848,416,-192,Pushups
,848,424,-176,Pushups
,848,448,-160,Pushups
,848,464,-112,Pushups
,840,472,-200,Pushups
,840,448,-160,Pushups
,864,424,-96,Pushups
,864,424,-168,Pushups
,888,368,-144,Pushups
,864,352,-240,Pushups
,856,344,-240,Pushups
,864,328,-288,Pushups
,864,328,-344,Pushups
,848,336,-328,Pushups
,864,288,-312,Pushups
,880,264,-352,Pushups
,896,144,-344,Pushups
,904,192,-344,Pushups
,912,-16,-376,Pushups
,936,24,-272,Pushups
,912,-56,-376,Pushups
,920,16,-320,Pushups
,936,-16,-232,Pushups
,880,160,-400,Pushups
,912,176,-304,Pushups
,848,168,-360,Pushups
,856,360,-344,Pushups
,872,304,-392,Pushups
,864,360,-336,Pushups
,888,288,-272,Pushups
,856,344,-320,Pushups
,872,320,-48,Pushups
,856,400,-176,Pushups
,888,368,-160,Pushups
,872,432,-88,Pushups
,880,400,-200,Pushups
,872,416,-184,Pushups
,872,408,-120,Pushups
,864,416,-144,Pushups
,864,424,-160,Pushups
,864,416,-136,Pushups
,864,424,-144,Pushups
,848,440,-144,Pushups
,848,456,-176,Pushups
,848,424,-168,Pushups
,848,464,-120,Pushups
,840,464,-256,Pushups
,840,432,-216,Pushups
,840,416,-240,Pushups
,856,424,-224,Pushups
,856,392,-208,Pushups
,864,392,-168,Pushups
,872,368,-304,Pushups
,872,368,-312,Pushups
,880,312,-288,Pushups
,880,280,-296,Pushups
,896,224,-184,Pushups
,896,184,-336,Pushups
,912,128,-296,Pushups
,896,112,-344,Pushups
,928,-40,-240,Pushups
,952,-40,-264,Pushups
