Time (s),X(mG),Y(mG),Z(mG),Classification
30.72,920,336,-72,Walking
30.76,848,376,-64,Walking
30.8,776,360,-72,Walking
30.84,736,312,-56,Walking
30.88,744,256,-120,Walking
30.92,752,224,-136,Walking
30.96,792,232,-160,Walking
31,856,248,-160,Walking
31.04,968,264,-160,Walking
31.08,1056,264,-216,Walking
31.12,1088,264,-312,Walking
31.16,952,280,-328,Walking
31.2,920,328,-320,Walking
31.24,960,272,-296,Walking
31.28,984,224,-288,Walking
31.32,960,232,-272,Walking
31.36,888,280,-248,Walking
31.4,848,312,-272,Walking
31.44,848,272,-280,Walking
31.48,880,240,-256,Walking
31.52,912,232,-280,Walking
31.56,944,224,-208,Walking
31.6,936,240,-200,Walking
31.64,944,240,-192,Walking
31.68,944,248,-128,Walking
31.72,936,272,-72,Walking
31.76,944,296,-88,Walking
31.8,992,344,-88,Walking
31.84,1048,384,-56,Walking
31.88,1072,416,-56,Walking
31.92,1008,408,-56,Walking
31.96,936,392,-32,Walking
32,952,408,-64,Walking
32.04,992,384,-48,Walking
32.08,1008,360,-96,Walking
32.12,960,304,-184,Walking
32.16,896,248,-160,Walking
32.2,840,248,-320,Walking
32.24,768,232,-272,Walking
32.28,720,224,-280,Walking
32.32,744,216,-264,Walking
32.36,784,208,-256,Walking
32.4,856,216,-208,Walking
32.44,888,232,-224,Walking
32.48,968,256,-176,Walking
32.52,984,264,-184,Walking
32.56,1024,304,-224,Walking
32.6,968,328,-240,Walking
32.64,880,312,-264,Walking
32.68,920,256,-224,Walking
32.72,952,224,-240,Walking
32.76,968,224,-192,Walking
32.8,920,264,-144,Walking
32.84,856,336,-208,Walking
32.88,784,368,-224,Walking
32.92,776,392,-272,Walking
32.96,784,360,-352,Walking
33,824,320,-352,Walking
33.04,880,320,-408,Walking
33.08,952,328,-384,Walking
33.12,992,304,-336,Walking
33.16,1040,280,-288,Walking
33.2,1064,312,-256,Walking
33.24,1088,352,-192,Walking
33.28,1048,376,-144,Walking
33.32,960,344,-88,Walking
33.36,976,344,-104,Walking
33.4,984,328,-88,Walking
33.44,1016,280,-80,Walking
33.48,960,232,-88,Walking
33.52,904,216,-112,Walking
33.56,848,232,-104,Walking
33.6,760,248,-136,Walking
33.64,696,240,-152,Walking
33.68,712,216,-160,Walking
33.72,784,232,-200,Walking
33.76,832,248,-216,Walking
33.8,896,296,-240,Walking
33.84,1008,352,-192,Walking
33.88,1120,376,-264,Walking
33.92,1160,384,-312,Walking
33.96,1040,376,-344,Walking
34,904,312,-248,Walking
34.04,888,272,-248,Walking
34.08,904,240,-208,Walking
34.12,912,256,-128,Walking
34.16,872,304,-256,Walking
34.2,800,312,-200,Walking
34.24,720,320,-248,Walking
34.28,680,312,-288,Walking
34.32,656,272,-288,Walking
34.36,704,280,-312,Walking
34.4,792,288,-304,Walking
34.44,856,304,-336,Walking
34.48,1024,240,-32,Walking
34.52,-8,512,184,Walking
34.56,728,320,-1704,Walking
34.6,1040,816,-592,Walking
34.64,976,568,-280,Walking
34.68,960,496,-40,Walking
34.72,904,376,-96,Walking
34.76,1016,352,48,Walking
34.8,984,304,32,Walking
34.84,960,280,-48,Walking
34.88,896,280,-32,Walking
34.92,832,304,-48,Walking
34.96,760,280,-88,Walking
35,720,248,-112,Walking
35.04,720,208,-120,Walking
35.08,728,224,-96,Walking
35.12,776,280,-96,Walking
35.16,880,328,-96,Walking
35.2,1008,360,-144,Walking
35.24,1136,360,-120,Walking
35.28,1296,352,-40,Walking
35.32,1312,408,-80,Walking
35.36,1096,432,-152,Walking
35.4,944,400,-88,Walking
35.44,896,328,-24,Walking
35.48,864,296,-48,Walking
35.52,880,272,-32,Walking
35.56,896,320,8,Walking
35.6,864,352,-96,Walking
35.64,808,344,-184,Walking
35.68,760,304,-200,Walking
35.72,768,272,-216,Walking
35.76,784,248,-240,Walking
35.8,816,248,-272,Walking
35.84,888,272,-328,Walking
35.88,944,288,-320,Walking
35.92,1080,296,-272,Walking
35.96,1224,320,-328,Walking
36,1280,376,-256,Walking
36.04,1096,360,-176,Walking
36.08,936,344,-152,Walking
36.12,992,360,-136,Walking
36.16,1032,344,-56,Walking
36.2,984,320,8,Walking
36.24,952,320,-16,Walking
36.28,912,336,8,Walking
36.32,848,352,-8,Walking
36.36,784,320,-32,Walking
36.4,744,312,-80,Walking
36.44,752,288,-96,Walking
36.48,760,280,-120,Walking
36.52,792,256,-184,Walking
36.56,864,240,-232,Walking
36.6,984,240,-184,Walking
36.64,1064,264,-264,Walking
36.68,1024,280,-312,Walking
36.72,952,256,-392,Walking
36.76,944,160,-232,Walking
36.8,976,160,-208,Walking
36.84,992,216,-184,Walking
36.88,952,320,-112,Walking
36.92,912,408,-120,Walking
36.96,840,448,-160,Walking
37,824,440,-208,Walking
37.04,808,384,-216,Walking
37.08,824,368,-264,Walking
37.12,848,352,-312,Walking
37.16,904,328,-272,Walking
37.2,936,312,-248,Walking
37.24,960,296,-208,Walking
37.28,1016,304,-200,Walking
37.32,1040,336,-160,Walking
37.36,1136,392,-96,Walking
37.4,1080,424,-56,Walking
37.44,976,424,-24,Walking
37.48,944,400,-16,Walking
37.52,1016,352,16,Walking
37.56,1032,320,24,Walking
37.6,1008,296,24,Walking
37.64,960,280,48,Walking
37.68,904,288,48,Walking
37.72,832,296,16,Walking
37.76,792,312,-8,Walking
37.8,776,288,-72,Walking
37.84,800,280,-96,Walking
37.88,840,240,-144,Walking
37.92,848,224,-208,Walking
37.96,888,224,-208,Walking
38,984,272,-224,Walking
38.04,1080,304,-288,Walking
38.08,1112,304,-328,Walking
38.12,1000,288,-288,Walking
38.16,904,312,-320,Walking
38.2,872,328,-368,Walking
38.24,928,344,-304,Walking
38.28,952,368,-296,Walking
38.32,968,400,-248,Walking
38.36,920,400,-192,Walking
38.4,880,408,-168,Walking
38.44,872,384,-136,Walking
38.48,904,344,-112,Walking
38.52,896,312,-112,Walking
38.56,880,304,-80,Walking
38.6,864,304,-64,Walking
38.64,856,296,-40,Walking
38.68,936,304,-32,Walking
38.72,968,336,24,Walking
38.76,944,384,64,Walking
38.8,920,368,152,Walking
38.84,904,328,96,Walking
38.88,944,312,64,Walking
38.92,960,328,120,Walking
38.96,1040,344,168,Walking
39,976,368,160,Walking
39.04,936,408,168,Walking
39.08,896,456,184,Walking
39.12,912,504,192,Walking
39.16,960,488,184,Walking
39.2,984,456,104,Walking
39.24,976,416,64,Walking
39.28,968,384,32,Walking
39.32,960,360,56,Walking
39.36,976,344,8,Walking
39.4,968,312,8,Walking
39.44,960,288,-8,Walking
39.48,944,288,-32,Walking
39.52,928,280,-32,Walking
39.56,944,288,-96,Walking
39.6,976,280,-136,Walking
39.64,952,248,-168,Walking
39.68,976,176,-192,Walking
39.72,1008,128,-160,Walking
39.76,992,104,-168,Walking
39.8,976,88,-120,Walking
39.84,928,104,-120,Walking
39.88,880,128,-112,Walking
39.92,864,152,-80,Walking
39.96,896,224,-128,Walking
40,912,200,-144,Walking
40.04,920,280,-160,Walking
40.08,896,320,-192,Walking
40.12,896,312,-224,Walking
40.16,864,304,-280,Walking
40.2,880,304,-312,Walking
40.24,888,320,-312,Walking
40.28,936,304,-296,Walking
40.32,976,288,-272,Walking
40.36,1080,280,-232,Walking
40.4,1152,280,-200,Walking
40.44,1200,304,-160,Walking
40.48,1136,328,-112,Walking
40.52,1024,344,-64,Walking
40.56,952,336,-24,Walking
40.6,968,328,-8,Walking
40.64,992,304,8,Walking
40.68,1016,288,24,Walking
40.72,984,288,0,Walking
40.76,920,280,8,Walking
40.8,832,296,-112,Walking
40.84,736,296,-232,Walking
40.88,664,296,-344,Walking
40.92,656,304,-336,Walking
40.96,712,304,-288,Walking
41,768,328,-272,Walking
41.04,808,360,-264,Walking
41.08,848,400,-264,Walking
41.12,936,408,-200,Walking
41.16,1024,368,-192,Walking
41.2,1104,336,-184,Walking
41.24,1080,320,-176,Walking
41.28,992,344,-160,Walking
41.32,856,328,-152,Walking
41.36,864,320,-88,Walking
41.4,896,296,-56,Walking
41.44,936,296,24,Walking
41.48,968,320,-32,Walking
41.52,904,336,-96,Walking
41.56,840,312,-80,Walking
41.6,792,272,-152,Walking
41.64,784,256,-184,Walking
41.68,840,272,-224,Walking
41.72,888,280,-272,Walking
41.76,960,272,-296,Walking
41.8,1024,248,-328,Walking
41.84,1024,192,-256,Walking
41.88,1000,176,-232,Walking
41.92,1024,240,-224,Walking
41.96,1040,304,-200,Walking
42,1096,344,-184,Walking
42.04,1064,368,-104,Walking
42.08,944,360,-64,Walking
42.12,944,344,-56,Walking
42.16,960,352,8,Walking
42.2,1000,384,-24,Walking
42.24,1032,392,16,Walking
42.28,976,400,0,Walking
42.32,896,384,-64,Walking
42.36,824,368,-80,Walking
42.4,752,352,-192,Walking
42.44,712,304,-168,Walking
42.48,720,280,-208,Walking
42.52,744,272,-216,Walking
42.56,784,272,-208,Walking
42.6,800,296,-248,Walking
42.64,864,304,-176,Walking
42.68,928,304,-176,Walking
42.72,1032,288,-200,Walking
42.76,1088,272,-200,Walking
42.8,1008,288,-224,Walking
42.84,912,296,-224,Walking
42.88,896,280,-224,Walking
42.92,944,264,-216,Walking
42.96,1000,256,-144,Walking
43,1016,280,-80,Walking
43.04,960,344,-80,Walking
43.08,880,392,-168,Walking
43.12,832,384,-160,Walking
43.16,784,352,-168,Walking
43.2,824,320,-216,Walking
43.24,880,296,-216,Walking
43.28,944,288,-208,Walking
43.32,960,272,-200,Walking
43.36,944,264,-168,Walking
43.4,960,264,-128,Walking
43.44,976,280,-104,Walking
43.48,960,304,-80,Walking
43.52,1016,344,-104,Walking
43.56,1072,368,-48,Walking
43.6,968,376,-32,Walking
43.64,904,360,-64,Walking
43.68,920,336,-16,Walking
43.72,984,336,8,Walking
43.76,1016,344,32,Walking
43.8,984,368,8,Walking
43.84,904,368,-16,Walking
43.88,824,368,-24,Walking
43.92,792,368,-88,Walking
43.96,784,336,-64,Walking
44,824,304,-96,Walking
44.04,856,280,-88,Walking
44.08,872,296,-88,Walking
44.12,880,304,-104,Walking
44.16,888,304,-144,Walking
44.2,944,312,-144,Walking
44.24,1024,296,-136,Walking
44.28,1096,280,-232,Walking
44.32,952,288,-264,Walking
44.36,848,320,-280,Walking
44.4,856,320,-232,Walking
44.44,952,296,-208,Walking
44.48,992,272,-208,Walking
44.52,976,312,-168,Walking
44.56,912,320,-168,Walking
44.6,864,320,-136,Walking
44.64,840,304,-88,Walking
44.68,848,288,-80,Walking
44.72,864,264,-80,Walking
44.76,904,248,-48,Walking
44.8,936,232,-48,Walking
44.84,928,216,-40,Walking
44.88,912,216,-40,Walking
44.92,896,240,-88,Walking
44.96,864,248,-80,Walking
45,904,280,-120,Walking
45.04,968,328,-144,Walking
45.08,1064,384,-152,Walking
45.12,1096,416,-168,Walking
45.16,1016,384,-104,Walking
45.2,976,336,-104,Walking
45.24,1040,344,-128,Walking
45.28,1072,352,-56,Walking
45.32,1072,352,-48,Walking
45.36,1040,344,-64,Walking
45.4,968,328,-88,Walking
45.44,880,304,-104,Walking
45.48,816,288,-184,Walking
45.52,768,256,-152,Walking
45.56,760,232,-176,Walking
45.6,776,224,-184,Walking
45.64,808,224,-168,Walking
45.68,840,224,-168,Walking
45.72,904,240,-168,Walking
45.76,960,232,-176,Walking
45.8,1096,224,-176,Walking
45.84,1056,240,-256,Walking
45.88,952,224,-264,Walking
45.92,960,168,-320,Walking
45.96,976,128,-168,Walking
46,1000,208,-128,Walking
46.04,968,336,-144,Walking
46.08,912,416,-160,Walking
46.12,848,408,-136,Walking
46.16,800,360,-136,Walking
46.2,784,320,-208,Walking
46.24,752,288,-208,Walking
46.28,800,328,-240,Walking
46.32,864,344,-272,Walking
46.36,928,304,-280,Walking
46.4,936,240,-352,Walking
46.44,1000,216,-336,Walking
46.48,1144,288,-328,Walking
46.52,1232,312,-296,Walking
46.56,1200,304,-232,Walking
46.6,1064,304,-216,Walking
46.64,1016,296,-104,Walking
46.68,960,304,-88,Walking
46.72,896,384,-80,Walking
46.76,904,448,-72,Walking
46.8,896,496,-56,Walking
46.84,872,512,-120,Walking
46.88,808,512,-184,Walking
46.92,736,480,-184,Walking
46.96,680,448,-208,Walking
47,640,416,-160,Walking
47.04,600,408,-264,Walking
47.08,616,376,-280,Walking
47.12,640,344,-288,Walking
47.16,736,304,-240,Walking
47.2,872,296,-208,Walking
47.24,1008,256,-208,Walking
47.28,1072,216,-80,Walking
47.32,1032,256,-136,Walking
47.36,984,320,-128,Walking
47.4,976,352,-88,Walking
47.44,1008,336,-80,Walking
47.48,1032,328,-120,Walking
47.52,1040,344,-152,Walking
47.56,984,368,-232,Walking
47.6,904,344,-240,Walking
47.64,832,344,-360,Walking
47.68,800,344,-296,Walking
47.72,808,376,-368,Walking
47.76,840,368,-368,Walking
47.8,896,320,-376,Walking
47.84,960,232,-328,Walking
47.88,984,176,-224,Walking
47.92,960,192,-168,Walking
47.96,952,240,-128,Walking
48,960,312,-152,Walking
48.04,992,352,-136,Walking
48.08,1024,432,-200,Walking
48.12,992,480,-224,Walking
48.16,944,456,-208,Walking
48.2,944,496,-232,Walking
48.24,936,472,-216,Walking
48.28,904,480,-168,Walking
48.32,872,472,-136,Walking
48.36,848,448,-112,Walking
48.4,816,408,-104,Walking
48.44,760,360,-144,Walking
48.48,688,312,-200,Walking
48.52,656,248,-168,Walking
48.56,656,232,-144,Walking
48.6,720,232,-200,Walking
48.64,776,272,-192,Walking
48.68,888,304,-176,Walking
48.72,1000,320,-216,Walking
48.76,1168,328,-184,Walking
48.8,1256,352,-176,Walking
48.84,1320,392,-184,Walking
48.88,1176,448,-168,Walking
48.92,1008,448,-136,Walking
48.96,880,424,-128,Walking
49,816,416,-184,Walking
49.04,840,392,-176,Walking
49.08,856,360,-312,Walking
49.12,856,296,-296,Walking
49.16,840,264,-344,Walking
49.2,872,232,-352,Walking
49.24,880,184,-312,Walking
49.28,840,160,-280,Walking
49.32,816,104,-264,Walking
49.36,816,32,-248,Walking
49.4,832,80,-240,Walking
49.44,880,200,-192,Walking
49.48,976,312,-176,Walking
49.52,1088,352,-208,Walking
49.56,1200,352,-192,Walking
49.6,1128,360,-304,Walking
49.64,1008,336,-272,Walking
49.68,976,352,-208,Walking
49.72,952,344,-144,Walking
49.76,1016,320,-128,Walking
49.8,992,272,-96,Walking
49.84,912,248,-88,Walking
49.88,856,256,-72,Walking
49.92,808,280,-112,Walking
49.96,784,264,-120,Walking
50,776,224,-80,Walking
50.04,800,224,-120,Walking
50.08,832,248,-128,Walking
50.12,832,256,-168,Walking
50.16,848,264,-160,Walking
50.2,920,272,-208,Walking
50.24,992,272,-224,Walking
50.28,1088,272,-256,Walking
50.32,1144,304,-288,Walking
50.36,1080,304,-328,Walking
50.4,936,256,-288,Walking
50.44,896,192,-280,Walking
50.48,888,176,-224,Walking
50.52,912,184,-168,Walking
50.56,936,224,-104,Walking
50.6,904,264,-128,Walking
50.64,832,280,-152,Walking
50.68,752,288,-152,Walking
50.72,720,296,-240,Walking
50.76,720,288,-240,Walking
50.8,760,272,-288,Walking
50.84,784,256,-320,Walking
50.88,856,256,-304,Walking
50.92,904,248,-304,Walking
50.96,928,264,-272,Walking
51,1016,288,-320,Walking
51.04,1096,336,-312,Walking
51.08,1160,360,-304,Walking
51.12,1184,344,-280,Walking
51.16,1080,296,-192,Walking
51.2,984,248,-168,Walking
51.24,952,216,-120,Walking
51.28,968,208,-96,Walking
51.32,1080,200,-16,Walking
51.36,1096,208,80,Walking
51.4,1040,224,112,Walking
51.44,904,264,16,Walking
51.48,800,288,-40,Walking
51.52,784,288,-16,Walking
51.56,776,272,-16,Walking
51.6,808,296,-24,Walking
51.64,840,360,-120,Walking
51.68,888,368,-184,Walking
51.72,920,336,-192,Walking
51.76,960,352,-160,Walking
51.8,976,408,-152,Walking
51.84,984,424,-160,Walking
51.88,1048,440,-152,Walking
51.92,1152,408,-104,Walking
51.96,1144,400,-56,Walking
52,992,400,-56,Walking
52.04,960,384,-80,Walking
52.08,936,272,-48,Walking
52.12,896,144,64,Walking
52.16,912,80,64,Walking
52.2,984,72,32,Walking
52.24,1000,64,-16,Walking
52.28,984,72,-56,Walking
52.32,936,104,-80,Walking
52.36,872,144,-152,Walking
52.4,864,176,-184,Walking
52.44,872,200,-168,Walking
52.48,880,208,-128,Walking
52.52,872,248,-160,Walking
52.56,848,296,-232,Walking
52.6,856,312,-288,Walking
52.64,888,280,-280,Walking
52.68,912,192,-240,Walking
52.72,856,192,-296,Walking
52.76,872,248,-384,Walking
52.8,912,272,-376,Walking
52.84,1024,240,-296,Walking
52.88,1056,208,-200,Walking
52.92,1056,232,-208,Walking
52.96,1040,208,-176,Walking
53,1024,224,-96,Walking
53.04,984,272,-104,Walking
53.08,880,336,-104,Walking
53.12,840,360,-104,Walking
53.16,864,352,-40,Walking
53.2,864,328,-72,Walking
53.24,888,296,-136,Walking
53.28,912,280,-168,Walking
53.32,912,272,-128,Walking
53.36,904,272,-136,Walking
53.4,896,280,-160,Walking
53.44,896,272,-176,Walking
53.48,912,256,-160,Walking
53.52,936,312,-152,Walking
53.56,1000,312,-64,Walking
53.6,1048,248,-152,Walking
53.64,1064,240,-192,Walking
53.68,1032,272,-216,Walking
53.72,952,304,-208,Walking
53.76,888,320,-168,Walking
53.8,912,400,-96,Walking
53.84,920,344,-152,Walking
53.88,936,320,-144,Walking
53.92,936,336,-136,Walking
53.96,880,352,-144,Walking
54,832,384,-136,Walking
54.04,808,344,-152,Walking
54.08,784,296,-136,Walking
54.12,816,296,-224,Walking
54.16,816,256,-176,Walking
54.2,872,288,-224,Walking
54.24,952,312,-192,Walking
54.28,1000,328,-160,Walking
54.32,1040,352,-128,Walking
54.36,1072,408,-120,Walking
54.4,1120,464,-104,Walking
54.44,1032,464,-56,Walking
54.48,912,384,-48,Walking
54.52,856,376,-128,Walking
54.56,888,400,-104,Walking
54.6,872,448,-136,Walking
54.64,848,456,-192,Walking
54.68,792,472,-232,Walking
54.72,752,472,-216,Walking
54.76,728,448,-216,Walking
54.8,712,400,-240,Walking
54.84,704,368,-256,Walking
54.88,728,336,-192,Walking
54.92,752,320,-160,Walking
54.96,792,304,-120,Walking
55,920,312,-64,Walking
55.04,1016,328,0,Walking
55.08,1040,368,-88,Walking
55.12,960,416,-128,Walking
55.16,928,400,-120,Walking
55.2,968,320,-104,Walking
55.24,1000,232,-160,Walking
55.28,1024,232,-160,Walking
55.32,968,288,-144,Walking
55.36,928,336,-160,Walking
55.4,864,352,-184,Walking
55.44,848,336,-192,Walking
55.48,832,304,-232,Walking
55.52,856,264,-240,Walking
55.56,928,192,-168,Walking
55.6,936,192,-112,Walking
55.64,976,224,-200,Walking
55.68,992,264,-152,Walking
55.72,992,296,-152,Walking
55.76,1032,352,-232,Walking
55.8,1112,360,-192,Walking
55.84,1168,344,-152,Walking
55.88,1056,320,-104,Walking
55.92,1000,320,-80,Walking
55.96,1008,344,-40,Walking
56,1048,376,8,Walking
56.04,1040,384,48,Walking
56.08,968,368,48,Walking
56.12,888,360,24,Walking
56.16,816,360,16,Walking
56.2,776,352,-16,Walking
56.24,728,304,-48,Walking
56.28,760,272,-88,Walking
56.32,792,256,-120,Walking
56.36,840,240,-168,Walking
56.4,904,232,-224,Walking
56.44,952,232,-232,Walking
56.48,1040,232,-384,Walking
56.52,1072,200,-392,Walking
56.56,992,216,-432,Walking
56.6,896,216,-352,Walking
56.64,936,240,-312,Walking
56.68,960,264,-248,Walking
56.72,952,288,-200,Walking
56.76,904,312,-192,Walking
56.8,840,344,-208,Walking
56.84,792,352,-208,Walking
56.88,760,328,-224,Walking
56.92,752,320,-264,Walking
56.96,792,312,-296,Walking
57,832,328,-328,Walking
57.04,912,344,-304,Walking
57.08,1008,344,-280,Walking
57.12,1024,360,-224,Walking
57.16,1040,384,-200,Walking
57.2,1056,456,-152,Walking
57.24,1016,472,-48,Walking
57.28,936,448,-8,Walking
57.32,904,472,48,Walking
57.36,944,520,128,Walking
57.4,968,536,176,Walking
57.44,936,504,120,Walking
57.48,880,440,48,Walking
57.52,808,408,-24,Walking
57.56,752,408,-104,Walking
57.6,712,440,-176,Walking
57.64,704,456,-288,Walking
57.68,728,456,-312,Walking
57.72,744,456,-376,Walking
57.76,736,416,-408,Walking
57.8,712,416,-424,Walking
57.84,696,432,-408,Walking
57.88,752,448,-336,Walking
57.92,824,432,-296,Walking
57.96,896,448,-248,Walking
58,904,464,-232,Walking
58.04,832,464,-192,Walking
58.08,776,464,-152,Walking
58.12,824,432,-136,Walking
58.16,896,368,-120,Walking
58.2,920,328,-112,Walking
58.24,904,352,-128,Walking
58.28,848,384,-136,Walking
58.32,800,384,-168,Walking
58.36,808,376,-216,Walking
58.4,824,400,-240,Walking
58.44,864,400,-312,Walking
58.48,888,392,-344,Walking
58.52,912,384,-376,Walking
58.56,920,344,-328,Walking
58.6,928,344,-304,Walking
58.64,928,344,-232,Walking
58.68,984,352,-184,Walking
58.72,1000,336,-152,Walking
58.76,1072,344,-128,Walking
58.8,1088,336,-72,Walking
58.84,1040,336,-56,Walking
58.88,968,328,-40,Walking
58.92,920,312,-8,Walking
58.96,912,296,-16,Walking
59,952,264,24,Walking
59.04,952,256,24,Walking
59.08,920,256,24,Walking
